jar_file,sha256,mod_id,mod_name,installed_version,authors,environment,project_url,repository_url,license_name,spdx_identifier,license_type,license_url,license_source,license_version,license_found_in_jar,curseforge_project_id,curseforge_file_id,modrinth_project_id,public_modpack_distribution,curseforge_distribution,jar_redistribution,commercial_server_use,monetized_server_use,modification_allowed,source_disclosure_required,attribution_required,license_file_required,notice_file_required,written_permission_required,confidence,status,notes
AdvancementPlaques-1.21.1-fabric-1.6.8.jar,dda6cc159edd450d05b9ff15832747b951dacd068c601018c219bca833ce5bef,advancementplaques,Advancement Plaques,1.6.8,Grend,client,https://anthonyhilyard.com/,https://github.com/AHilyard/AdvancementPlaques,Creative Commons CC-BY-NC-ND-4.0,CC-BY-NC-ND-4.0,CREATIVE_COMMONS,https://github.com/AHilyard/AdvancementPlaques/blob/main/LICENSE,Metadata fabric.mod.json,4.0,False,514882,5905997,,SIM,SIM,SIM,SIM,SIM,NÃO,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
Almanac-1.21.1-2-fabric-1.5.2.jar,fe375dc91dc9d10071090b989f7296dbddc968feb7bb24cf3b92ef2aed217d93,almanac,Almanac,1.5.2,frikinjay,*,https://github.com/frikinjay/almanac,,GNU Lesser General Public License v3.0,LGPL-3.0-only,COPYLEFT,https://github.com/frikinjay/almanac,Metadata fabric.mod.json,3.0,False,1115285,7489079,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
BadOptimizations-2.4.1-1.21.1.jar,22e2467892d3706f43d1cf2aa637785bb8601c20b0098a82ab956e6a8fc4d2ba,badoptimizations,BadOptimizations,2.4.1,Thosea,client,https://modrinth.com/mod/badoptimizations/,https://github.com/imthosea/BadOptimizations/,MIT,MIT,PERMISSIVA,https://github.com/imthosea/BadOptimizations//blob/main/LICENSE,Embedded metadata / upstream repo (MIT License),2.0,False,949555,7338300,,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
BetterF3-11.0.3-Fabric-1.21.1.jar,e0e4bb25fbe23b16b7574474ee9fde5cdc9757d05885bc43978f4ea5e8e258ad,betterf3,BetterF3,11.0.3,cominixo; TreyRuffy,client,https://modrinth.com/mod/betterf3,https://github.com/TreyRuffy/BetterF3.git,MIT License,MIT,PERMISSIVA,https://github.com/TreyRuffy/BetterF3.git/blob/main/LICENSE,Metadata fabric.mod.json / JAR embedded,1.0,True,401648,5873256,,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
BetterThirdPerson-Fabric-1.21-1.9.0.jar,f9ec9dc6508b20d32a3c770ecc77641e8f87c98e298d58e2757a6ef14abbb457,betterthirdperson,Better Third Person,1.9.0,Socolio; DreenDex,client,https://injected.coffee/,,All Rights Reserved,ARR,ARR,https://injected.coffee/,Metadata fabric.mod.json,1.0,False,435044,5439141,,SIM,SIM,NÃO,SIM,SIM,NÃO,NÃO,CONDICIONAL,CONDICIONAL,CONDICIONAL,NÃO,ALTA,APROVADO,Mod ARR com permissao de distribuicao ativada no CurseForge via CurseForge Modpack Manifest.
Carved Wood-fabric-1.21.1-1.9.7-B.jar,90b0784cd66b656343ec4b42c9e5562e92175f15ed91404a03a39e386a23847c,carved_wood,Carved Wood,1.9.7-B,Im_Maker,*,https://fabricmc.net/,https://github.com/FabricMC/fabric-example-mod,Maker's Mods License,Makers-Mods-License,CUSTOMIZADA,https://github.com/FabricMC/fabric-example-mod/blob/main/LICENSE,Metadata fabric.mod.json,1.0,False,1335174,8444854,,SIM,SIM,CONDICIONAL,SIM,SIM,NÃO,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
Clumps-fabric-1.21.1-19.0.0.1.jar,49e406cb2872e24a2d2dbe461b93f0c8fbee1748d14c2a941e54f785e3a1e1a7,clumps,Clumps,19.0.0.1,Jared,*,https://www.curseforge.com/minecraft/mc-mods/clumps,https://github.com/jaredlll08/Clumps,MIT License,MIT,PERMISSIVA,https://github.com/jaredlll08/Clumps/blob/main/LICENSE,Metadata fabric.mod.json / JAR embedded,1.0,False,256717,5623729,,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
CobbleFurnies-fabric-1.2.jar,c1230a58ca2369b973bfade68a0ffcac86ffcbf9dd2a845999ed8c5348bfef93,cobblefurnies,CobbleFurnies,1.2,LunazStudios,*,https://www.curseforge.com/minecraft/mc-mods/cobblefurnies,,MIT License,MIT,PERMISSIVA,https://www.curseforge.com/minecraft/mc-mods/cobblefurnies,Metadata fabric.mod.json / JAR embedded,1.0,False,1188698,8340198,,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
Cobblemon-fabric-1.7.3+1.21.1.jar,f7c25955176badc444ad6211fc556514fedbdba776227f105fe899f8819d74e3,cobblemon,Cobblemon,1.7.3+1.21.1,The Cobblemon Team,*,https://cobblemon.com/,https://gitlab.com/cable-mc/cobblemon,Mozilla Public License 2.0,MPL-2.0,COPYLEFT,https://gitlab.com/cable-mc/cobblemon/blob/main/LICENSE,Metadata fabric.mod.json,2.0,True,687131,7553235,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
Cobbreeding-fabric-2.2.2.jar,6ef5d451535a5066ada4676d1782664f167cef9f0f7b8fcbc41471934a0a47db,cobbreeding,Cobbreeding,2.2.2,Ludichat; Fuzuki,*,https://www.curseforge.com/minecraft/mc-mods/cobbreeding,https://gitlab.com/ludichat/Cobbreeding,MIT License,MIT,PERMISSIVA,https://gitlab.com/ludichat/Cobbreeding/blob/main/LICENSE,Metadata fabric.mod.json / JAR embedded,1.0,True,,,,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
